wind speed at 100m (m/s)
10.205
10.956
11.502
11.276
11.3
11.313
11.984
11.944
11.648
11.38
11.267
10.531
9.845
10.266
10.364
10.376
9.891
10.306
10.751
10.898
10.895
11.734
11.783
11.865
12.885
12.753
12.616
12.75
12.467
12.302
12.421
12.198
12.006
12.064
12.076
12.036
12.11
11.627
11.499
11.307
10.992
11.392
11.459
11.658
11.56
11.157
10.989
10.724
10.596
10.782
10.831
11.026
11.114
11.481
11.667
11.728
12.405
12.039
12.799
12.247
12.225
12.14
12.094
12.353
11.938
11.548
11.465
12.619
11.939
11.072
11.429
11.496
12.097
12.317
12.116
12.262
12.403
12.784
12.986
13.214
13.288
13.837
13.925
14.157
13.889
13.88
13.931
14.319
13.617
14.096
14.139
13.755
13.861
13.901
13.492
13.541
13.34
13.803
14.56
15.799
13.23
13.755
14.759
13.684
13.883
13.333
13.33
12.863
12.976
12.394
12.064
11.524
12.561
12.815
12.503
11.868
11.945
11.96
12.317
12.207
12.522
12.488
12.659
12.778
12.961
12.622
12.753
12.9
12.918
12.705
12.857
13.022
13.37
13.327
12.97
12.192
11.817
11.643
11.481
11.221
12.012
11.523
11.447
11.386
10.474
9.506
9.918
10.453
11.005
13.117
14.008
13.281
12.711
12.634
12.213
11.356
11.474
11.435
11.032
11.505
11.2
11.221
12.878
13.08
12.564
12.265
12.83
13.165
13.477
13.877
14.563
14.566
14.606
14.768
14.612
14.264
14.56
14.575
14.13
14.115
14.118
13.7
13.202
13.471
12.662
12.671
12.918
12.979
13.534
14.01
14.221
15.136
14.972
15.866
16.556
16.04
14.981
13.742
13.608
13.806
13.892
13.397
13.193
13.3
13.266
12.729
12.115
11.401
12.131
13.046
12.952
12.567
12.326
13.086
13.278
13.397
13.373
13.428
13.4
12.882
12.833
12.787
12.949
12.967
12.964
12.973
12.894
12.424
11.88
11.664
10.831
10.586
10.474
9.991
10.232
10.971
11.599
11.911
11.947
12.491
12.253
12.317
13.043
11.954
11.298
12.207
13.199
12.332
11.761
12.219
12.75
12.668
12.411
12.5
12.195
12.189
12.46
12.619
12.604
12.973
12.936
12.219
12.094
11.939
11.884
12.345
12.885
13.431
13.4
13.852
14.017
14.374
13.248
12.909
13.178
13.895
12.003
14.084
12.839
12.738
13.836
11.789
11.67
10.574
13.077
12.539
13.302
13.943
12.665
11.212
12.5
12.479
13.205
13.47
12.891
12.146
12.002
12.869
13.525
13.443
14.508
13.696
12.595
11.828
13.507
14.337
14.181
13.644
13.678
13.129
13.431
14.331
15.21
15.43
15.1
14.7
14.499
14.331
14.252
14.371
14.578
14.612
14.291
14.566
13.995
12.247
12.882
13.504
12.07
11.145
11.521
11.35
11.136
11.429
11.768
11.951
12.815
12.091
11.765
12.052
12.238
12.149
11.957
11.823
12.061
11.771
11.737
11.688
11.597
12.021
12.024
12.283
12.476
12.488
13.049
13.019
12.729
12.47
12.68
12.845
12.72
12.503
12.83
13.437
13.22
13.315
13.251
13.449
13.681
13.754
13.489
13.434
13.718
13.654
12.888
11.963
11.764
12.408
12.353
12.256
11.545
12.476
11.768
12.302
11.689
10.978
11.426
11.719
11.944
11.822
11.136
10.681
10.602
10.501
11.13
13.458
12.585
12.384
11.285
11.389
12.942
12.14
12.014
12.369
11.533
11.493
12.128
10.458
10.196
10.016
10.242
10.388
10.226
10.355
10.4
10.605
11.218
11.365
11.124
10.895
11.511
11.887
11.698
11.521
11.008
10.428
10.285
10.935
11.289
9.995
9.256
9.699
9.931
9.986
10.681
11.475
14.508
14.841
12.988
12.326
12.097
12.1
12.28
12.131
12.198
13.165
12.799
12.793
13.144
13.461
12.979
11.716
10.88
11.505
12.231
13.025
12.479
12.238
12.433
12.238
11.707
12.015
11.441
11.102
11.459
11.316
11.185
11.056
10.812
10.522
10.528
10.351
10.049
9.958
9.448
9.259
9.015
8.67
8.456
8.484
8.407
8.533
8.569
8.465
9.796
10.272
9.872
9.823
9.735
9.463
9.265
9.146
9.067
9.076
8.932
8.636
8.413
8.136
8.047
7.986
7.849
7.922
8.731
9.137
9.42
10.144
10.528
9.942
9.497
9.344
9.259
9.525
9.75
9.726
9.409
9.299
9.573
9.778
9.769
9.619
9.634
9.619
9.674
9.268
9.5
9.326
9.619
10.354
9.701
9.595
9.68
9.552
9.07
8.816
8.316
8.255
8.252
7.947
8.377
8.16
7.779
7.211
7.214
